item,y,pred_combined,pred_rgb,pred_pcloud,entropy_rgb,entropy_pcloud,margin_rgb,margin_pcloud,jsd
44,perro,1.0,1.0,0.0,0.4200260043144226,0.996791660785675,27.0,2.0,0.3571929161618574
45,perro,1.0,1.0,0.0,0.2108422964811325,0.8812909126281738,28.0,12.0,0.4998254726804026
46,perro,1.0,1.0,0.0,0.3533593416213989,0.9182958602905273,26.0,10.0,0.47339955426050484
47,perro,1.0,1.0,1.0,1.1196482181549072,0.9709506034851074,16.0,6.0,0.2533809252217891
48,perro,1.0,1.0,1.0,1.6402239799499512,1.0529816150665283,8.0,16.0,0.1781041683194049
49,tractor,2.0,2.0,0.0,0.9815912842750549,1.2948203086853027,15.0,12.0,0.49826771563920236
50,tractor,2.0,2.0,1.0,1.248609185218811,0.7837769389152527,15.0,16.0,0.7599500783224402
51,tractor,1.0,2.0,1.0,1.517915964126587,0.996791660785675,2.0,2.0,0.6900379899051066
52,tractor,0.0,3.0,0.0,0.996791660785675,0.468995600938797,2.0,24.0,0.8095164684952361
53,tractor,1.0,1.0,1.0,1.373017430305481,0.7837769389152527,8.0,16.0,0.34419449158454285
54,tractor,0.0,3.0,0.0,1.6648530960083008,-0.0,9.0,,0.8201119644709259
55,tractor,1.0,1.0,0.0,1.3628981113433838,0.566509485244751,11.0,22.0,0.7491859069323514
56,tractor,0.0,3.0,0.0,1.63650381565094,0.8366407155990601,3.0,14.0,0.5235253440382489
57,tractor,1.0,1.0,1.0,1.1766796112060547,0.7219281196594238,1.0,18.0,0.30616771609552584
58,tractor,1.0,1.0,1.0,0.9871377944946289,0.6500224471092224,4.0,20.0,0.318432354815266
59,tractor,1.0,2.0,1.0,1.360964059829712,0.9709506034851074,3.0,6.0,0.5145247027726656
60,tractor,1.0,1.0,1.0,1.2309595346450806,0.9480782151222229,8.0,8.0,0.38365830421864344
61,tractor,1.0,1.0,1.0,1.0746277570724487,0.996791660785675,11.0,2.0,0.31701453034171134
62,tractor,1.0,1.0,0.0,0.6746799349784851,0.7219281196594238,23.0,18.0,0.5277317158155828
63,tractor,1.0,1.0,0.0,1.601515293121338,0.6500224471092224,9.0,20.0,0.6209324444797095
64,tractor,1.0,3.0,1.0,1.109227180480957,0.996791660785675,9.0,2.0,0.5834641379534204
65,tractor,0.0,2.0,0.0,1.4036736488342285,-0.0,9.0,,1.0
66,tractor,3.0,3.0,0.0,1.4591479301452637,0.8366407155990601,5.0,14.0,0.7917320689767102
67,tractor,1.0,1.0,0.0,0.468995600938797,0.9871377944946289,24.0,4.0,0.39350925164588924
68,tractor,1.0,1.0,1.0,-0.0,0.8812909126281738,,12.0,0.16919485510105411
69,tractor,1.0,1.0,1.0,0.9480782151222229,1.373017430305481,8.0,8.0,0.07041169875007475
70,taza,2.0,1.0,2.0,1.2832547426223755,1.3248560428619385,2.0,7.0,0.18141990198972974
71,taza,1.0,1.0,1.0,0.566509485244751,0.468995600938797,22.0,24.0,0.001950236433212159
72,taza,1.0,1.0,1.0,1.353359341621399,0.6500224471092224,0.0,20.0,0.12451122908936732
73,taza,2.0,2.0,1.0,0.2108422964811325,-0.0,28.0,,0.8937772041043738
74,taza,2.0,2.0,2.0,1.5927846431732178,0.996791660785675,13.0,2.0,0.2054872051049153
75,taza,2.0,2.0,1.0,1.4591479301452637,0.9480782151222229,5.0,8.0,0.2787806213337807
76,taza,2.0,2.0,2.0,0.9055872559547424,0.9871377944946289,20.0,4.0,0.1894782255154751
77,taza,2.0,2.0,1.0,0.566509485244751,-0.0,22.0,,0.7038830210957336
78,taza,2.0,2.0,1.0,0.7665095329284668,-0.0,24.0,,0.8937772041043739
79,taza,1.0,2.0,1.0,1.3038890361785889,-0.0,13.0,,0.8201119644709259
80,taza,1.0,1.0,1.0,1.5655962228775024,0.8812909126281738,2.0,12.0,0.1972611109983986
81,taza,1.0,3.0,1.0,0.9218339323997498,0.3533593416213989,17.0,26.0,0.5731181452877474
82,taza,1.0,2.0,1.0,1.413454294204712,-0.0,15.0,,0.8201119644709259
83,taza,2.0,2.0,2.0,-0.0,0.8366407155990601,,14.0,0.14818913558232166
84,taza,1.0,2.0,1.0,0.6500224471092224,-0.0,20.0,,0.6548575458269758
85,taza,1.0,2.0,1.0,1.3995811939239502,-0.0,6.0,,0.4591479170272447
86,taza,2.0,2.0,1.0,0.7703437805175781,0.468995600938797,21.0,24.0,0.7707559071486445
87,taza,2.0,1.0,2.0,1.5493978261947632,0.7219281196594238,1.0,18.0,0.3263528972789506
88,taza,2.0,1.0,2.0,1.1766796112060547,0.9182958602905273,1.0,10.0,0.04156715571125755
